#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-01T20:37:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-01T20:37:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=Vmag&-out=DEICRS&-out=Plx&-out=B-V&HIPep=HIPep&Erratum=Erratum&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
HIP|Vmag|DEICRS|Plx|B-V
  2191| 7.47|+58.55390797|   2.03| 0.043
  2192| 9.15|+51.46436655|  -0.58| 0.136
  2193| 8.00|+22.09566223|   1.84| 1.034
  2194| 9.02|-32.38721604|  21.72| 0.745
  2195| 7.96|+04.60714066|   1.29| 1.253
  2196| 9.73|-17.33149724|   7.56| 0.501
  2197| 8.73|+23.46766067|   3.04| 1.149
  2198| 9.29|+46.55500714|   7.12| 0.255
  2199| 9.37|+48.74760265|   3.73| 0.106
  2200| 8.11|+28.17388112|   4.83| 0.166
  2201|11.59|-06.48384114|  21.07| 1.229
  2202| 9.14|+18.04552537|   4.85| 0.485
  2203| 8.64|-25.28186263|  -0.20| 1.219
  2204| 7.78|+52.95503628|  10.86| 0.453
  2205| 8.93|+50.91251451|   6.56| 0.558
  2206| 8.46|+23.57162141|   5.35| 0.258
  2207| 8.46|-24.84840670|  10.58| 1.200
  2208| 8.60|-01.68163568|   2.68| 1.291
  2209| 9.27|-57.24470819|   4.09| 1.140
  2210| 4.86|-33.00704460|   5.95| 1.634
  2211| 9.34|+68.92581886|   1.84| 0.285
  2212| 9.35|+02.05375139|  -0.12| 1.072
  2213| 6.40|+19.51408099|   6.12| 0.990
  2214| 9.88|-69.54224064|   6.97| 0.512
  2215| 7.35|-11.65876340|   8.87| 1.205
  2216| 9.33|+27.09741256|   0.95| 1.510
  2217| 9.12|-49.73631358|   3.97| 0.535
  2218| 7.67|-52.95232677|   3.52| 0.983
  2219| 5.01|+17.89307501|   6.65| 1.584
  2220| 7.68|+16.71604599|   3.29| 0.409
  2221| 9.72|+53.66926601|   0.04| 0.005
  2222| 7.48|+20.79597251|   1.35| 1.585
  2223| 8.89|+59.09215850|   1.26| 0.115
  2224| 6.05|+16.44510093|   2.93| 1.580
  2226| 8.27|-54.62257293|   8.17| 0.795
  2225| 5.18|+44.39448925|  12.32| 0.043
  2227| 6.75|-29.04020581|   7.50| 1.127
  2228| 8.19|-65.91217416|   6.83| 0.300
  2229| 8.55|+42.17702095|   2.57| 1.069
  2230| 8.92|-50.62802055|  12.57| 0.609
  2231| 7.81|+28.06050771|  10.51| 0.601
  2232| 9.36|+63.73495256|   9.04| 0.750
  2233|10.05|-44.38893179|   6.88| 0.750
  2234| 7.73|-64.72962406|   6.03| 0.330
  2235| 6.05|+10.19034140|  27.51| 0.447
  2236| 8.59|-45.86907330|  11.49|
  2237| 6.44|-20.33477667|  31.01| 0.594
  2238| 8.03|-22.85495963|   3.71| 1.077
  2239| 7.10|-29.28464781|  17.88| 0.500
  2240| 5.42|-39.91490183|   7.86| 1.556
  2241| 7.13|+33.79896684|   5.15| 1.018
  2242| 9.52|-02.51331148|   8.15| 0.552
  2243| 6.87|+32.43779213|   6.59| 0.106
  2244| 8.68|+07.09019980|   1.55| 1.147
  2245| 9.99|+12.58791993|   4.93| 0.448
  2246| 6.86|-11.23721888|  15.86| 0.535
  2247| 9.62|-16.22578934|  26.64| 1.128
  2248| 8.34|+39.09013947|   4.40| 0.960
  2249| 7.47|+33.63402399|   2.94| 1.470
  2250| 8.53|-09.40523293|   2.62| 0.945
  2251| 9.75|-55.73940953|   0.28| 0.420
  2252| 8.12|+37.30412680|   6.23| 0.228
  2253| 7.79|-54.43115282|   4.52| 1.086
  2254| 9.98|-37.01068181|   7.77| 0.640
  2255|10.28|-24.07848018|   6.14| 0.670
  2256| 6.26|-50.53284634|   8.58| 1.090
  2257| 9.92|+00.76716164|   2.61| 0.351
  2258| 8.63|+42.38503688|   2.64| 0.009
  2259| 8.74|+62.50627815|  -1.11| 0.188
  2260| 9.14|-60.77468864|   2.01| 0.973
  2261|10.14|-49.09927688|   3.22| 0.420
  2262| 9.25|-53.05924116|   0.48| 1.023
  2263| 7.14|-24.63668428|   3.74| 0.318
  2264| 7.75|+08.38396024|   4.58| 1.034
  2265| 9.42|+20.60856597|   0.31| 1.406
  2266| 8.51|-44.60687716|   6.45| 0.446
  2267| 7.30|+57.20974899|   0.87| 0.894
  2268| 9.34|+48.09466185|   2.68| 1.452
  2269| 8.56|-34.88711142|   3.42| 1.008
  2270| 6.28|+36.89970105|   7.03| 0.916
  2271| 7.04|+48.41371782|   1.50| 1.617
  2272| 9.13|-54.28532130|   3.68| 1.066
  2273| 9.25|-27.39184214|  15.85| 0.864
  2274| 9.84|-17.21688833|   1.04| 0.398
  2275| 8.97|-07.70279608|   8.81| 0.523
  2276| 9.06|-31.62229073|   6.43| 0.404
  2277| 9.44|+13.55234738|   2.97| 1.355
  2278| 8.00|-27.01029179|   1.53| 0.953
  2279| 8.95|-55.63924741|   2.68| 1.036
  2280| 8.09|+11.32015120|   8.48| 0.375
  2281| 8.86|+00.04077104|   3.72| 1.122
  2282| 8.46|-50.61157574|  20.60| 0.748
  2283| 7.35|-11.59812043|   2.58| 1.616
  2284| 9.00|-45.05933608|   5.99| 0.526
  2285| 9.01|+44.99505600|   2.18| 1.575
  2286| 9.64|-37.90848297|  -2.13| 1.500
  2287| 9.90|-17.82515962|  -6.82| 0.577
  2288| 9.07|-24.93058702|  10.93| 0.680
  2289| 8.02|+59.46946689|   4.40| 0.970
  2290| 7.68|-15.06530578|   1.99| 1.491
  2291| 8.93|-13.56009296|   3.49| 0.377
  2292| 7.78|-05.90995058|  17.88| 0.649
  2293|11.37|+80.91340034|  17.58| 1.153
  2294| 9.42|-34.10216025|   8.96| 0.610
  2295|10.22|-31.27735792|   4.13| 0.591
  2296| 8.87|+50.13006037|   3.45| 0.295
  2297| 8.72|-45.67706883|   5.64| 0.267
  2298| 8.50|-05.63393904|   4.36| 1.101
  2299|10.48|+79.87833061|   2.07| 0.557
  2300| 7.34|+28.82778053|   0.57| 1.474
  2301| 8.60|+26.87171075|   1.62| 0.883
  2302| 8.74|-06.51460344|   2.09| 1.018
  2304| 6.82|-40.66541214|   2.82| 1.273
  2303| 8.53|-35.72512627|   9.21| 0.464
  2305| 7.95|+40.84182236|  17.20| 0.691
  2306| 8.32|+26.49536212|   4.74| 0.355
  2307| 8.32|+56.94625340|   3.24| 0.942
  2308| 8.51|+53.38694394|   5.93| 0.972
  2309| 9.51|+15.01031194|   4.89| 0.634
  2310|10.68|+38.71502873|   2.67| 1.080
  2311| 9.34|-11.01701602|  22.77| 0.840
  2312| 6.95|-03.46928805|   2.93| 1.307
  2313| 8.95|+13.48060695|   6.39| 0.504
  2314| 7.78|+24.88118418|   9.53| 0.556
  2315| 7.29|+10.38718283|   3.96| 1.183
  2316| 9.77|+19.03398006|   8.60| 0.793
  2317|11.06|-72.68208644|   1.91| 0.564
  2318| 8.82|-35.82361414|  15.28| 0.602
  2319| 7.62|-32.56943621|  13.20| 0.465
  2320| 7.00|+62.06416651|   7.10| 1.060
  2321| 8.86|-50.87999493|   3.00| 1.111
  2322| 8.88|-04.01503000|   2.80| 0.600
  2323| 6.89|-02.84032635|   5.20| 1.457
  2324| 7.68|+32.98716291|   4.09| 1.050
  2325| 9.66|+52.30463542|   0.23| 0.049
  2326| 7.90|+30.16420187|  14.45| 0.494
  2327|10.11|+20.30144884|  20.25| 0.570
  2328| 9.28|+58.92392721|   1.17| 0.101
  2329| 7.54|+57.03071802|   1.37| 0.002
  2330| 6.59|-32.11592585|   5.05| 1.351
  2331|11.01|+02.48223820|   1.45| 0.504
  2332| 7.88|+09.69782308|   5.85| 1.123
  2333| 7.83|-00.32088385|   6.10| 1.024
  2335| 8.90|+46.38503682|   6.94| 0.393
  2334| 9.10|-33.41787057|   6.03| 0.638
  2336| 7.47|+38.32435177|  11.67| 0.544
  2337| 6.15|-14.86402653|  23.62| 0.388
  2338| 9.19|-44.08293211|   8.06| 0.626
  2339| 8.24|+59.25503629|   8.80| 0.883
  2340| 7.93|+08.80624371|   2.74| 1.232
  2341| 8.95|+45.00648148|   8.45| 0.648
  2342| 8.15|-32.27327542|   5.98| 1.030
  2343| 7.46|-01.11755497|  14.05| 0.353
  2344| 9.29|-19.04251364|   6.99| 0.483
  2345| 9.09|-66.16433103|   3.37| 1.104
  2346| 9.37|-27.24538056|   2.82| 0.500
  2347| 8.86|+60.21196536|   2.32| 1.096
  2348| 9.24|-46.68194472|   4.21| 0.938
  2349| 8.14|-59.79433240|   2.71| 0.972
  2350| 9.44|-05.76345720|  18.62| 0.886
  2351| 9.11|-14.42364581|   3.53| 0.489
  2352| 8.41|+75.24285940|  13.12| 0.618
  2353| 5.72|-03.95729662|   3.82| 1.545
  2354| 8.85|+60.15114261|   0.64| 0.885
  2355| 5.20|+29.75169567|  17.62| 0.271
  2356| 9.55|+06.46764663|   1.63| 0.534
  2357| 9.09|-09.23528685|   3.04| 0.258
  2358| 6.52|+04.86007602|  14.87| 0.453
  2359| 9.56|-22.50563116|   4.21| 0.986
  2360| 8.95|+24.60731568|   6.79| 0.779
  2361|10.21|-33.40340389|   4.21| 0.628
  2362| 9.54|-12.34688325|   0.33| 1.194
  2363| 8.94|-21.46200348|   6.56| 1.016
  2364|10.10|+54.46332826|  25.04| 1.080
  2365| 9.10|+22.40029589|   4.78| 1.104
  2366| 8.85|+35.64354375|   1.72| 0.370
  2367| 9.08|+52.51604151|   1.84| 0.100
  2368| 8.51|-19.19375934|  11.77| 0.613
  2369| 9.02|+05.36227013|   6.48| 0.403
  2370|12.22|-29.24375218|   2.22| 0.410
  2371| 7.27|+64.74898345|   5.29| 0.007
  2372| 9.20|-55.03564814|   1.32| 1.652
  2373|10.68|+07.17913649|  20.15| 1.066
  2374| 7.40|+15.79532885|   3.83| 1.282
  2375|10.30|-28.45750691|   7.11| 0.570
  2376| 8.94|-48.05368168|   6.02| 0.756
  2377| 5.94|+59.97756400|   4.54|-0.003
  2378| 8.23|+64.79026279|   1.68| 0.461
  2379| 9.31|-19.85035198|   2.98| 1.045
  2380| 9.75|-32.72317549|   2.37| 0.808
  2381| 5.17|-23.78771429|  18.08| 0.128
  2382|10.90|+60.16923902|   0.82| 0.469
  2383| 5.67|-48.21469821|  22.19| 0.367
  2384| 9.41|+40.36916613|   5.09| 1.747
  2385| 9.19|+72.53102600|   3.26| 0.204
  2386| 8.15|-15.91532980|  12.28| 0.488
  2387|11.27|+05.99760510|   4.06| 1.100
  2388| 6.18|-40.93962515|   7.77| 0.315
  2389| 7.97|-15.12390459|   3.15| 1.086
  2390| 8.32|+65.27216229|   0.19| 0.495
  2391|12.25|+04.33904103|  11.25| 1.410
  2392| 6.60|-39.51835788|   7.19| 1.141
  2393| 7.63|+32.17694681|   7.85| 0.458
  2394| 9.29|-08.08418277|   4.75| 0.466
  2395| 8.56|+24.10632987|   6.77| 0.198
  2396| 9.39|+43.13669629|   0.37| 1.289
  2397| 9.22|+22.76941622|  29.34| 0.930
  2398| 8.44|+03.26688983|   3.06| 1.190
  2399| 8.86|-13.71524351|   2.26| 1.141
  2400| 9.17|+36.16907827|   3.54| 0.200
  2401| 8.77|+23.48476184|   4.80| 0.061
  2402| 8.27|+17.81324351|   2.45| 1.085
  2403| 7.55|-18.62093632|   9.86| 0.506
  2404| 9.07|-28.53625644|   2.49| 0.988
  2405| 8.70|-27.93525051|   2.07| 1.055
  2406| 7.54|-54.97028170|   6.94| 0.203
  2407| 7.52|+32.13651591|   9.15| 0.464
  2408| 7.43|-09.40771739|   2.93| 1.567
  2409| 7.39|+62.35400760|   2.05|-0.013
  2410|12.07|+09.92045129|   8.45| 1.343
  2411| 9.60|+13.65316566|   5.87| 0.681
  2412|10.69|+19.06728651|  14.69| 0.900
  2413| 7.72|+57.06505408|   2.11| 0.747
  2414| 7.74|+47.53000544|  20.91| 0.652
  2415| 6.83|+16.03761493|   8.46| 0.126
  2416| 9.07|-56.59512448|  17.50| 0.734
  2417| 9.09|-41.39014399|  14.06| 0.617
  2418| 9.95|+66.13106857|   2.24| 0.349
  2419| 8.15|+81.37511450|   7.21| 0.194
  2420| 7.64|+41.52169210|   7.14| 0.182
  2421| 8.19|+29.52842817|   3.64| 0.970
  2422| 6.18|+77.01948785|  25.37| 0.883
  2423| 8.12|+64.06435996|   4.88| 0.477
  2424|10.01|-38.75001534|  -1.20| 0.489
  2425| 9.57|+35.01245877|   3.70| 0.535
  2426|10.63|+73.37047110|  36.36| 1.359
  2427| 8.79|-36.23819715|  -1.25| 1.282
  2428| 8.40|-37.78777611|   1.28| 1.187
  2429| 8.07|+34.09865723|   8.10| 0.455
  2430| 8.41|+61.43865366|   1.88| 1.486
  2431| 6.86|-10.08465275|   7.01| 0.200
  2432| 8.33|+55.79098557|   1.53| 1.320
  2433| 9.58|-31.63868240|   8.28| 0.547
  2434| 8.51|+43.37421718|  10.69| 0.553
  2435| 8.52|-51.95290859|   0.77| 1.585
  2436| 8.71|-43.29219055|   3.68| 1.141
  2437| 7.37|+50.25399522|   4.20| 0.873
  2438|10.26|-32.63181615|   3.44| 0.449
  2439| 9.43|+34.65065848|  -0.07| 0.569
  2440| 6.57|+55.70282110|   7.97| 1.154
  2441| 7.62|+09.30549444|   4.28| 1.359
  2442| 7.71|+57.36562139|   4.35| 0.140
  2443|10.63|-23.48753752|   2.26| 0.520
  2444| 8.46|-10.08386024|  11.69| 0.636
  2445| 8.92|-69.03843596|   9.19| 0.593
  2446| 7.73|-48.64099363|   4.76| 1.138
  2447| 8.01|-37.60494621|   1.32| 1.023
  2448| 9.54|-42.29299328|   7.24| 0.360
  2449| 9.79|-64.29356616|   3.91| 0.711
  2450| 8.83|+56.00140307|   1.10| 0.040
  2451| 8.41|-21.35119816|   5.86| 0.398
  2452| 9.27|-41.88160437|  16.21| 0.804
  2453| 7.37|+69.78543643|  23.95| 0.504
  2455| 6.76|+43.94655192|   2.44|-0.064
  2456|10.99|-35.47705846|  -1.20| 0.050
  2454| 9.60|+63.35445087|   0.86| 0.349
  2457| 9.42|+55.29803771|   0.27| 0.017
  2458|12.38|+01.96476050|  16.71| 1.339
  2459| 8.73|+57.25169081|   1.07| 0.176
  2461|10.38|-20.94806971|   5.88| 0.751
  2462| 8.99|-51.64932569|   1.22| 1.704
  2463| 8.48|-16.79453948|  -0.06| 0.713
  2464| 9.34|+71.12200393|  -0.33| 0.268
  2460|10.40|+63.34249886|   8.09|
  2465| 7.53|-43.60637738|   4.86| 0.143
  2467| 8.10|-11.22379992|   9.19| 0.354
  2468| 8.11|-56.24149203|   3.63| 1.109
  2469| 8.49|+39.01095458|   5.62| 0.180
  2466| 9.79|+63.33073411|   4.63| 0.288
  2470| 7.83|-45.90153387|   6.13| 0.918
  2471| 9.75|-02.01737471|   3.56| 0.539
  2472| 4.76|-48.80356171|  18.97| 0.018
  2473| 7.32|+38.98060201|   3.55| 0.110
  2474| 6.18|+66.51962673|   4.55|-0.100
  2475| 5.88|+33.58168169|   6.98| 1.133
  2476| 8.44|+42.52510543|   5.06| 0.102
  2477|10.07|+05.95506002|   4.33| 1.630
  2478| 8.08|-37.20082776|  -1.59| 1.127
  2479| 7.18|+11.53231372|  13.44| 0.275
  2480| 7.17|+20.82951512|   5.08| 1.352
  2481| 7.48|+21.11023518|   3.21| 1.606
  2482| 8.10|-04.28187876|  15.90| 0.528
  2483| 8.15|-11.27324041|  15.36| 0.653
  2484| 4.36|-62.95808549|  23.35|-0.064
  2487| 4.53|-62.96544985|  18.95| 0.147
  2485| 8.81|+39.33133181|   5.07| 0.587
  2486| 9.70|-36.27373127|   1.43| 0.552
  2488| 9.38|-61.34667079|   7.95| 0.456
  2489| 7.88|-53.11792927|   3.20| 0.037
  2490| 6.89|+16.02101606|   4.12| 1.267
  2491| 6.99|+09.16121584|   3.96| 1.405
  2492|10.99|+00.61406633|  10.63| 0.682
  2493| 8.70|+58.14366077|   2.01| 0.116
  2494| 8.88|+58.05890811|  -0.10| 0.140
  2495| 9.00|+23.70822208|  11.30| 0.569
  2496| 7.07|-01.79363321|   9.86| 0.071
  2497| 5.59|+52.83955844|   8.29| 1.163
  2498| 7.25|+12.91388642|  12.27| 0.906
  2499|12.41|-47.42216728|  -0.72|-0.279
  2500| 8.28|+03.75626549|   7.60| 0.281
  2501| 9.67|+61.13055565|   2.59| 0.418
  2502| 7.44|+19.48209050|   5.23| 0.955
  2503| 7.58|+53.96166426|  -0.17|-0.034
  2504| 9.64|-53.48017332|  13.68| 0.817
  2505| 4.74|+54.52232473|   9.20|-0.098
  2506| 9.37|-30.41094105|   6.86| 0.521
  2507| 7.48|+45.92637299|   5.28| 1.104
  2508| 7.90|+17.27945907|   5.41| 0.964
  2509| 8.11|+36.96715075|   6.40| 0.880
  2510| 7.99|+04.84621221|   9.30| 0.325
  2511| 9.60|-27.82839734|  15.71| 0.759
  2512| 7.22|+18.10554887|  10.47| 0.535
  2513| 9.52|-25.71114740|   6.93| 0.651
  2514| 7.88|+48.65786294|   3.14| 0.126
  2515| 9.98|-05.26174957|   1.79| 0.219
  2516| 9.65|+45.51751063|   6.91| 1.609
  2517| 6.87|+19.64295811|   3.59| 1.638
  2518| 8.89|+28.50962600|   4.85| 0.397
  2519| 8.82|+01.51042373|   6.95| 0.383
  2520| 8.84|+28.52109346|   2.31| 1.050
  2521| 8.73|+03.86240628|   4.42| 0.473
  2522| 8.48|+30.52200340|   1.79| 1.440
  2523| 9.08|-13.30942452|   2.61| 1.296
  2524| 8.71|+68.95947357|   0.27| 0.501
  2525| 8.33|+67.16112804|   2.76| 0.390
  2526| 7.52|+55.99417417|   1.90| 1.211
  2527| 7.07|-18.22193008|   5.22| 1.245
  2528| 9.08|+50.00357838|   5.02| 0.343
  2529|10.34|+30.54418783|   6.78| 1.248
  2530|10.50|-36.23934466|   0.67| 0.554
  2531| 7.92|+53.00274865|   3.77| 1.083
  2532| 8.27|-12.29501561|  13.78| 0.580
  2533| 8.54|-05.17864035|  21.40| 0.840
  2534| 9.15|+43.71164016|   3.18| 0.131
  2535| 8.30|+47.12285603|   4.79| 0.058
  2536| 9.69|-24.13280162|   2.05| 1.393
  2537| 6.94|+53.81511065|   1.76| 1.522
  2538| 9.74|-26.79607481|   6.25| 0.486
  2539| 6.74|+34.99394306|   9.62| 0.191
  2540| 9.65|-63.09101331|  38.85| 1.367
  2541| 8.71|+27.71185065|   2.25| 1.234
  2542| 8.69|-51.99045524|  10.38| 0.537
  2543| 7.10|+58.33864189|  11.36| 0.377
  2545| 8.51|+33.45254750|   2.31| 1.372
  2544| 7.32|-24.64626669|  13.81| 0.391
  2546| 9.85|+26.02943021|  -4.26| 1.500
  2547| 9.23|+13.53701211|   8.69| 0.520
  2549| 8.57|+21.77818654|   4.84| 1.069
  2548| 5.69|+06.95545461|  12.36|-0.014
  2550|10.14|-24.87622499|   3.49| 0.440
  2551| 8.11|-32.05672016|   4.05| 0.958
  2553| 6.69|+43.49481723|   4.96|-0.006
  2552|10.27|+67.23621544|  98.74| 1.520
  2554| 8.97|-38.27767604|  -0.12| 1.314
  2555| 9.11|-60.67281256|   2.94| 1.092
  2556| 9.36|-68.00764433|  19.65| 0.928
  2557| 6.94|+51.72826200|   2.61| 1.101
  2558| 8.91|-44.06597885|   5.90| 0.905
  2559| 8.38|+10.48666945|   5.04| 0.352
  2560| 6.79|+18.79507188|   6.01| 1.540
  2561| 8.49|-28.74977463|   5.49| 1.107
  2562| 8.40|+55.21475694|   4.34| 0.097
  2563| 8.66|+28.19747447|  17.80| 0.650
  2564| 8.29|+51.10371953|   1.89| 0.284
  2565| 6.68|+27.58077717|   3.64| 0.084
  2566| 9.26|-06.20702753|   5.57| 0.450
  2567| 8.09|-18.10916056|   6.63| 0.749
  2568| 5.38|+20.29443334|  12.69| 1.069
  2569| 9.27|-09.03407299|   1.01| 0.504
  2570| 9.24|-27.98270046|   2.36| 0.983
  2571| 9.55|-14.90059041|   1.45| 1.272
  2572| 6.72|-25.35958222|   8.31| 1.176
  2573| 6.84|+23.19336931|   7.32| 0.921
  2574| 8.90|-35.42505189|  10.45| 0.735
  2576| 6.90|+38.84382562|   4.47| 0.364
  2575| 8.88|+78.11167221|  12.16| 0.679
  2577| 9.25|+24.73376158|  -0.75| 1.337
  2578| 5.07|-63.03137868|  21.52| 0.038
  2579| 8.50|-13.48708365|   2.39| 0.047
  2580| 8.51|-39.32593744|  10.60| 0.623
  2581| 6.91|+54.12003466|   3.56| 1.249
  2582| 9.76|+68.14294462|   2.23| 0.244
  2583| 6.26|+28.28022584|   6.95| 0.965
  2584| 9.63|-22.09504164|   3.44| 0.399
  2585| 8.70|-00.44564365|   3.96| 0.997
  2586| 8.76|-13.25755041|  13.63| 0.666
  2587| 7.94|+35.85797535|   3.83|-0.017
  2588| 8.94|-34.17007744|   1.91| 0.366
  2589|10.71|-22.69340258|   1.62| 0.444
  2590| 9.04|+11.77303465|   3.46| 1.129
  2591| 8.22|+57.18487832|   5.44| 0.211
  2592| 8.61|-68.16135661|   3.02| 1.024
  2593| 8.23|+29.61099790|   5.53| 0.445
  2594| 9.89|+08.27983232|   1.63| 0.895
  2595| 6.90|+16.16716854|   8.73| 0.508
  2596|11.65|+48.65825780|   4.21| 1.228
  2597| 7.58|+18.39523211|  11.30| 0.384
  2599| 4.17|+62.93178781|   0.79| 0.130
  2598|10.08|-23.49159603|   5.34| 0.548
  2600|10.27|+44.73019250|   9.52| 0.780
  2601| 9.44|-29.07422762|  11.64| 0.760
  2602| 8.38|+50.49297129|   7.70| 0.501
  2603| 8.42|+33.84610145|   4.35| 0.453
  2604|10.94|+42.00110936|  29.26| 1.311
  2605| 8.56|-36.92728706|  -2.25| 1.477
  2606| 9.08|+52.69333900|   0.71| 0.152
  2607| 7.64|-39.75963452|   3.42| 1.473
  2608| 8.54|-09.98798507|   4.32| 1.129
  2609| 9.39|+07.58561940|   7.76| 0.466
  2610| 9.11|-54.15454127|   0.63| 1.168
  2611| 5.93|+54.89508062|   8.68| 1.037
  2612| 7.36|-03.84786179|   1.52| 1.301
  2613| 9.29|+51.66861286|   1.71| 0.012
  2614| 9.27|-63.90826167|   5.71| 1.030
  2616| 7.47|-46.95177605|   3.52| 0.285
  2615| 9.11|-78.66513983|   3.80| 1.376
  2617|10.23|-30.93899507|   3.89| 0.642
  2618| 9.49|-10.72851654|   2.88| 1.269
  2619| 9.61|-18.01786240|   7.95| 0.516
  2620| 8.47|+53.97327430|   1.86| 1.610
  2621| 8.14|+17.95936793|  12.44| 0.509
  2622|10.21|-24.29148908|   7.12| 0.483
  2623| 8.88|-21.85403316|   6.96| 0.491
  2624| 8.89|+56.54376029|   2.58| 1.544
  2625| 8.18|+37.18290918|   5.14| 1.163
  2626| 7.81|+13.84062112|  12.29| 0.521
  2627| 8.55|-19.49733319|   2.18| 1.179
  2628| 6.41|+70.98184763|   6.18|-0.007
  2629| 6.11|-71.26621472|   6.65| 0.265
  2630| 9.15|-58.80911559|   0.17| 1.470
  2631| 9.10|-40.72858921|   8.02| 0.651
  2632| 8.76|-04.04380018|   9.34| 0.606
  2633| 9.60|-53.19608363|   0.62|-0.105
  2634|11.35|-16.46662508|   9.54| 0.947
  2635| 8.48|+47.64946249|  -0.72| 0.196
  2636| 9.89|-66.76464952|  -0.24| 0.411
  2637| 9.58|+33.09330705|   0.49| 1.021
  2638| 7.88|-36.78885494|   0.58| 0.830
  2639|10.02|+09.15318652|  17.86| 1.062
  2640| 9.39|+09.77124777|   7.85| 0.389
  2641| 7.18|-00.60875174|   7.93| 0.338
  2642| 7.21|-55.32833837|   6.34| 0.000
  2643| 7.76|+40.10561610|  16.68| 0.556
  2644|11.11|+62.51116329|   3.47| 0.446
  2645| 7.27|-38.11333796|  13.56| 0.609
  2646| 7.76|-61.14724805|   2.97| 0.000
  2647| 7.89|+60.54865808|   3.62|-0.007
  2648| 8.73|+13.22055988|   3.20| 1.125
  2649| 7.29|-26.09180422|   2.29| 1.462
  2650| 7.86|-38.68574072|   7.55| 0.363
  2651| 8.52|+39.88423972|   3.32| 1.147
  2652| 8.43|-35.16748410|   1.93| 0.940
  2653| 9.85|-26.08894577|  13.24| 1.354
  2654| 8.73|-02.73521576|   4.74| 0.327
  2655|11.42|-15.48730165|   2.70| 0.635
  2656| 8.26|+62.78882256|  -0.55| 1.072
  2658| 7.86|+20.43379777|   7.02| 0.315
  2657|10.34|+62.79242483|  -0.55| 0.186
  2659| 8.40|+04.94783361|  11.07| 0.446
  2660| 9.04|-18.11529818|   3.33| 1.518
  2661| 5.55|-29.55820696|   6.56| 1.262
  2662| 8.44|-67.40894157|   0.55| 1.404
  2663| 6.41|-35.00082229|  27.63| 0.617
  2664| 8.99|+74.49396421|   8.44| 0.524
  2665| 7.42|-39.92461562|   5.97|-0.016
  2666| 8.06|+32.86619947|  11.52| 0.487
  2667| 8.71|+58.21535779|   0.79| 1.690
  2668| 7.50|+43.66669610|   2.70| 1.614
  2669| 9.10|+52.86573860|   2.30|-0.020
  2670|10.36|-40.43054539|   6.34| 0.680
  2671| 9.00|+11.06970950|   3.57| 1.256
  2672| 8.32|+25.44805100|   2.74| 1.004
  2673| 8.23|-39.24552069|  10.00| 0.465
  2674| 8.13|-33.41165011|   3.30| 1.381
  2675|10.42|+81.77095992|   3.34| 0.397
  2676|10.11|-27.61414872|   8.08| 0.705
  2677| 7.47|+03.31990802|   5.53| 0.940
  2678| 8.58|+18.78820737|  10.67| 0.512
  2679| 9.49|+65.53044405|   1.81| 0.502
  2680|11.25|+02.01513254|   8.75| 0.639
  2681| 9.46|+42.08843420|   3.51| 0.148
  2682| 7.98|-57.08515943|   2.88| 1.068
  2683| 8.31|-30.32263417|   4.67| 0.971
  2684| 7.66|-58.20167909|   4.10| 1.298
  2685| 8.01|-32.28555767|   1.79| 1.525
  2686| 8.90|+03.80890167|   0.70| 1.250
  2687|10.39|-34.76491599|  -0.42| 0.412
